n,b,total_time,transmit_time,init_time
20000,16,0.032293,0.032158,0.000135
20000,16,0.021305,0.021185,0.000120
20000,16,0.018999,0.018909,0.000090
20000,16,0.012469,0.012370,0.000099
20000,16,0.012308,0.012259,0.000049
20000,16,0.012040,0.011986,0.000054
20000,16,0.017702,0.017656,0.000046
20000,16,0.012598,0.012542,0.000056
20000,16,0.012335,0.012264,0.000071
20000,16,0.012300,0.012255,0.000045
20000,16,0.016424,0.016368,0.000056
20000,16,0.016105,0.016051,0.000054
20000,16,0.016290,0.016235,0.000055
20000,16,0.012157,0.012105,0.000052
20000,16,0.012193,0.012146,0.000047
20000,16,0.012136,0.012095,0.000041
20000,16,0.012206,0.012165,0.000041
20000,16,0.012156,0.012117,0.000039
20000,16,0.011953,0.011917,0.000036
20000,16,0.016930,0.016892,0.000038
20000,16,0.012255,0.012162,0.000093
20000,16,0.016795,0.016754,0.000041
20000,16,0.014445,0.014398,0.000047
20000,16,0.016315,0.016267,0.000048
20000,16,0.012331,0.012280,0.000051
20000,16,0.016480,0.016428,0.000052
20000,16,0.016265,0.016211,0.000054
20000,16,0.016238,0.016187,0.000051
20000,16,0.016122,0.016070,0.000052
20000,16,0.016130,0.016083,0.000047
20000,16,0.016103,0.016050,0.000053
20000,16,0.016077,0.016027,0.000050
20000,16,0.016126,0.016074,0.000052
20000,16,0.017493,0.017442,0.000051
20000,16,0.012241,0.012190,0.000051
20000,16,0.012310,0.012256,0.000054
20000,16,0.013720,0.013666,0.000054
20000,16,0.016973,0.016852,0.000121
20000,16,0.016731,0.016668,0.000063
20000,16,0.012877,0.012817,0.000060
20000,16,0.016435,0.016376,0.000059
20000,16,0.012294,0.012243,0.000051
20000,16,0.016380,0.016323,0.000057
20000,16,0.016182,0.016131,0.000051
20000,16,0.015429,0.015378,0.000051
20000,16,0.013676,0.013620,0.000056
20000,16,0.014259,0.014203,0.000056
20000,16,0.012153,0.012092,0.000061
20000,16,0.016131,0.016086,0.000045
20000,16,0.016842,0.016778,0.000064
20000,16,0.016200,0.016148,0.000052
20000,16,0.013002,0.012949,0.000053
20000,16,0.012540,0.012471,0.000069
20000,16,0.016244,0.016186,0.000058
20000,16,0.016167,0.016116,0.000051
20000,16,0.013558,0.013505,0.000053
20000,16,0.019369,0.019319,0.000050
20000,16,0.013611,0.013525,0.000086
20000,16,0.012182,0.012119,0.000063
20000,16,0.014055,0.014011,0.000044
20000,16,0.021700,0.021629,0.000071
20000,16,0.014075,0.014016,0.000059
20000,16,0.015663,0.015618,0.000045
20000,16,0.016485,0.016438,0.000047
