n,b,total_time,transmit_time,init_time
20000,16,0.031191,0.031013,0.000178
20000,16,0.017913,0.017827,0.000086
20000,16,0.008414,0.008339,0.000075
20000,16,0.012042,0.012006,0.000036
20000,16,0.012644,0.012625,0.000019
20000,16,0.012611,0.012593,0.000018
20000,16,0.012542,0.012521,0.000021
20000,16,0.012677,0.012656,0.000021
20000,16,0.012396,0.012375,0.000021
20000,16,0.012692,0.012537,0.000155
20000,16,0.011950,0.011926,0.000024
20000,16,0.011913,0.011879,0.000034
20000,16,0.011768,0.011740,0.000028
20000,16,0.011132,0.011115,0.000017
20000,16,0.011758,0.011740,0.000018
20000,16,0.011195,0.011176,0.000019
20000,16,0.008817,0.008796,0.000021
20000,16,0.008413,0.008371,0.000042
20000,16,0.008216,0.008168,0.000048
20000,16,0.008360,0.008311,0.000049
20000,16,0.008327,0.008277,0.000050
20000,16,0.012654,0.012631,0.000023
20000,16,0.012628,0.012607,0.000021
20000,16,0.012578,0.012562,0.000016
20000,16,0.012443,0.012424,0.000019
20000,16,0.012716,0.012700,0.000016
20000,16,0.012503,0.012488,0.000015
20000,16,0.012747,0.012730,0.000017
20000,16,0.012171,0.012152,0.000019
20000,16,0.012744,0.012724,0.000020
20000,16,0.012582,0.012560,0.000022
20000,16,0.008871,0.008850,0.000021
20000,16,0.008295,0.008255,0.000040
20000,16,0.008218,0.008172,0.000046
20000,16,0.008269,0.008223,0.000046
20000,16,0.008316,0.008269,0.000047
20000,16,0.008385,0.008338,0.000047
20000,16,0.011887,0.011864,0.000023
20000,16,0.011065,0.011045,0.000020
20000,16,0.011965,0.011945,0.000020
20000,16,0.011527,0.011510,0.000017
20000,16,0.011272,0.011254,0.000018
20000,16,0.011238,0.011217,0.000021
20000,16,0.011770,0.011753,0.000017
20000,16,0.011773,0.011752,0.000021
20000,16,0.011110,0.011093,0.000017
20000,16,0.011047,0.011028,0.000019
20000,16,0.010767,0.010739,0.000028
20000,16,0.010910,0.010876,0.000034
20000,16,0.012312,0.012273,0.000039
20000,16,0.011350,0.011308,0.000042
20000,16,0.008888,0.008835,0.000053
20000,16,0.012333,0.012300,0.000033
20000,16,0.008596,0.008545,0.000051
20000,16,0.008305,0.008258,0.000047
20000,16,0.012449,0.012424,0.000025
20000,16,0.012809,0.012790,0.000019
20000,16,0.008942,0.008892,0.000050
20000,16,0.010995,0.010962,0.000033
20000,16,0.011111,0.011093,0.000018
20000,16,0.011359,0.011343,0.000016
20000,16,0.011933,0.011916,0.000017
20000,16,0.011354,0.011336,0.000018
20000,16,0.011142,0.011122,0.000020
20000,16,0.011398,0.011380,0.000018
20000,16,0.012452,0.012425,0.000027
20000,16,0.011513,0.011476,0.000037
20000,16,0.008585,0.008533,0.000052
20000,16,0.008357,0.008332,0.000025
20000,16,0.012671,0.012650,0.000021
20000,16,0.012643,0.012624,0.000019
20000,16,0.012627,0.012611,0.000016
20000,16,0.012505,0.012488,0.000017
20000,16,0.012679,0.012661,0.000018
20000,16,0.012448,0.012432,0.000016
20000,16,0.012653,0.012636,0.000017
20000,16,0.019068,0.019039,0.000029
20000,16,0.011381,0.011342,0.000039
20000,16,0.012582,0.012561,0.000021
20000,16,0.011800,0.011782,0.000018
20000,16,0.011073,0.011057,0.000016
20000,16,0.011491,0.011472,0.000019
20000,16,0.011374,0.011345,0.000029
20000,16,0.011303,0.011276,0.000027
20000,16,0.011224,0.011206,0.000018
